"Class","Count","Bytes"
"active-chat-drop-helper","14","57763"
"front-door-ledger","1","18996"
"helper-context-script","4","18057"
"helper-tool-script","8","51641"
"observer-ledger","2","28878"
"preflight-rule","2","15920"
"support-chat-drop-history","32","1253813"
"tool-index","7","39287"
